problem,tfes,method,signature_candidate_count,probe_count,probe_accept_count,probe_accept_rate,probe_delta_mean,matched_probe_count,recovered_fusion_count,bad_probe_count,extra_fe_ratio
E6,5000,arac-lite-v0.6-accept-delta-recovery,0,30,11,0.36666666666666664,-133159546.1540853,0,11,0,0.0017399999999999998
E6,5000,arac-lite-v0.6-accept-only-recovery,0,30,14,0.4666666666666667,-42376278.40861002,0,14,0,0.0017599999999999998
E6,10000,arac-lite-v0.6-accept-delta-recovery,0,60,20,0.3333333333333333,-25318685.0355306,0,20,0,0.00148
E6,10000,arac-lite-v0.6-accept-only-recovery,0,60,18,0.3,-47898861.43054199,0,18,0,0.0016099999999999999
E6,20000,arac-lite-v0.6-accept-delta-recovery,0,110,50,0.45454545454545453,-3226395.328359153,0,50,0,0.0013999999999999998
E6,20000,arac-lite-v0.6-accept-only-recovery,0,110,44,0.4,-11099658.272730602,0,44,0,0.00146
R6,5000,arac-lite-v0.6-accept-delta-recovery,0,30,12,0.4,-201848153.31020102,0,12,18,0.0016799999999999999
R6,5000,arac-lite-v0.6-accept-only-recovery,0,30,11,0.36666666666666664,-234528598.5576945,0,11,19,0.00172
R6,10000,arac-lite-v0.6-accept-delta-recovery,0,60,30,0.5,-385344.56715987524,0,30,30,0.00153
R6,10000,arac-lite-v0.6-accept-only-recovery,0,60,30,0.5,-418847.387871933,0,30,30,0.0015699999999999998
R6,20000,arac-lite-v0.6-accept-delta-recovery,0,110,38,0.34545454545454546,-32718.115991803734,0,38,72,0.001395
R6,20000,arac-lite-v0.6-accept-only-recovery,0,110,31,0.2818181818181818,-48628.26594494148,0,31,79,0.0014399999999999999
S6,5000,arac-lite-v0.6-accept-delta-recovery,0,30,7,0.23333333333333334,-2648117703.5161457,0,7,0,0.00178
S6,5000,arac-lite-v0.6-accept-only-recovery,0,30,8,0.26666666666666666,-3174975608.483203,0,8,0,0.00178
S6,10000,arac-lite-v0.6-accept-delta-recovery,0,60,30,0.5,-3804450.5461908975,0,30,0,0.0015400000000000001
S6,10000,arac-lite-v0.6-accept-only-recovery,0,60,23,0.38333333333333336,-21081594.84802297,0,23,0,0.0016399999999999997
S6,20000,arac-lite-v0.6-accept-delta-recovery,0,110,48,0.43636363636363634,-40947.861608611456,0,48,0,0.001325
S6,20000,arac-lite-v0.6-accept-only-recovery,0,110,42,0.38181818181818183,-76057.08953491774,0,42,0,0.0013949999999999998
