problem,tfes,method,recovery_candidate_count,recovery_fusion_count,recovery_accept_count,recovery_accept_rate,recovery_delta_mean,bad_recovery_count
E6,5000,arac-lite-v0.6-accept-delta-recovery,146,84,27,0.32142857142857145,-92421314.6702939,0
E6,5000,arac-lite-v0.6-accept-only-recovery,567,328,150,0.4573170731707317,2250830.106839808,0
E6,10000,arac-lite-v0.6-accept-delta-recovery,937,584,146,0.25,-105975923.59053394,0
E6,10000,arac-lite-v0.6-accept-only-recovery,2495,1517,534,0.35201054713249835,-82025040.87399752,0
E6,20000,arac-lite-v0.6-accept-delta-recovery,785,436,206,0.4724770642201835,-6086271.6501481645,0
E6,20000,arac-lite-v0.6-accept-only-recovery,2959,1780,703,0.3949438202247191,-11835867.819719259,0
R6,5000,arac-lite-v0.6-accept-delta-recovery,132,64,15,0.234375,-440217191.5143547,49
R6,5000,arac-lite-v0.6-accept-only-recovery,742,428,64,0.14953271028037382,-820788576.7542388,364
R6,10000,arac-lite-v0.6-accept-delta-recovery,299,186,53,0.2849462365591398,-2532783.7430902296,133
R6,10000,arac-lite-v0.6-accept-only-recovery,463,295,88,0.2983050847457627,-2144098.9534702883,207
R6,20000,arac-lite-v0.6-accept-delta-recovery,772,492,151,0.30691056910569103,-44562.57593545439,341
R6,20000,arac-lite-v0.6-accept-only-recovery,1554,976,195,0.19979508196721313,-76751.06324732584,781
S6,5000,arac-lite-v0.6-accept-delta-recovery,191,101,14,0.13861386138613863,-10559404205.491028,0
S6,5000,arac-lite-v0.6-accept-only-recovery,834,486,93,0.19135802469135801,-7223336221.652665,0
S6,10000,arac-lite-v0.6-accept-delta-recovery,218,135,59,0.43703703703703706,-7544444.501546676,0
S6,10000,arac-lite-v0.6-accept-only-recovery,2481,1543,398,0.2579390797148412,-70648964.88668479,0
S6,20000,arac-lite-v0.6-accept-delta-recovery,827,534,127,0.23782771535580524,-164177.48097359508,0
S6,20000,arac-lite-v0.6-accept-only-recovery,2178,1354,408,0.30132939438700146,-318413.2608797809,0
