problem,tfes,method,rank,best_mean,rank_mean,rank_best,rank_worst
A6,5000,no-coordination,1,81202.04938379086,,,
A6,5000,arac-lite-v0.1-disable-fast,2,81251.71333633094,,,
A6,5000,arac-lite-v0.6-no-delta-hard-block,3,81251.71333633094,,,
A6,5000,arac-lite-v0.6-targeted-probe,4,81251.71333633094,,,
A6,5000,validated-selective-conflict,5,81251.71333633094,,,
A6,10000,no-coordination,1,81128.95921584456,,,
A6,10000,arac-lite-v0.1-disable-fast,2,81228.20715905374,,,
A6,10000,arac-lite-v0.6-no-delta-hard-block,3,81228.20715905374,,,
A6,10000,arac-lite-v0.6-targeted-probe,4,81228.20715905374,,,
A6,10000,validated-selective-conflict,5,81228.20715905374,,,
A6,20000,no-coordination,1,81065.64169863328,,,
A6,20000,validated-selective-conflict,2,81217.9308544999,,,
A6,20000,arac-lite-v0.1-disable-fast,3,81222.30748399519,,,
A6,20000,arac-lite-v0.6-no-delta-hard-block,4,81222.30748399519,,,
A6,20000,arac-lite-v0.6-targeted-probe,5,81222.30748399519,,,
E4,5000,no-coordination,1,4813193721355.312,,,
E4,5000,arac-lite-v0.1-disable-fast,2,4814259990629.924,,,
E4,5000,arac-lite-v0.6-no-delta-hard-block,3,4814259990629.924,,,
E4,5000,arac-lite-v0.6-targeted-probe,4,4814259990629.924,,,
E4,5000,validated-selective-conflict,5,4819849482133.483,,,
E4,10000,no-coordination,1,2210769614998.267,,,
E4,10000,validated-selective-conflict,2,2212063276730.5967,,,
E4,10000,arac-lite-v0.1-disable-fast,3,2213153076914.6484,,,
E4,10000,arac-lite-v0.6-no-delta-hard-block,4,2213158629159.346,,,
E4,10000,arac-lite-v0.6-targeted-probe,5,2213158629159.346,,,
E4,20000,arac-lite-v0.1-disable-fast,1,630321057158.0027,,,
E4,20000,arac-lite-v0.6-no-delta-hard-block,2,630321057158.0027,,,
E4,20000,arac-lite-v0.6-targeted-probe,3,630321057158.0027,,,
E4,20000,no-coordination,4,632970401350.6389,,,
E4,20000,validated-selective-conflict,5,636910434485.9039,,,
E6,5000,no-coordination,1,4532188549253.482,,,
E6,5000,validated-selective-conflict,2,4535852207495.338,,,
E6,5000,arac-lite-v0.6-no-delta-hard-block,3,4543254419331.792,,,
E6,5000,arac-lite-v0.6-targeted-probe,4,4543254419331.792,,,
E6,5000,arac-lite-v0.1-disable-fast,5,4544179349453.729,,,
E6,10000,no-coordination,1,2098937079141.5376,,,
E6,10000,arac-lite-v0.6-no-delta-hard-block,2,2107528242998.1328,,,
E6,10000,arac-lite-v0.6-targeted-probe,3,2107528242998.1328,,,
E6,10000,arac-lite-v0.1-disable-fast,4,2107876823178.9956,,,
E6,10000,validated-selective-conflict,5,2112044654807.75,,,
E6,20000,validated-selective-conflict,1,562927653019.19,,,
E6,20000,no-coordination,2,564311160257.952,,,
E6,20000,arac-lite-v0.6-no-delta-hard-block,3,565308244196.6311,,,
E6,20000,arac-lite-v0.6-targeted-probe,4,565308244196.6311,,,
E6,20000,arac-lite-v0.1-disable-fast,5,565760472312.3892,,,
R6,5000,no-coordination,1,2069270209526.4688,,,
R6,5000,arac-lite-v0.1-disable-fast,2,2076361644215.2095,,,
R6,5000,arac-lite-v0.6-no-delta-hard-block,3,2076396194872.4016,,,
R6,5000,arac-lite-v0.6-targeted-probe,4,2076396194872.4016,,,
R6,5000,validated-selective-conflict,5,2085390589023.5757,,,
R6,10000,no-coordination,1,26717234044.872753,,,
R6,10000,arac-lite-v0.1-disable-fast,2,26867943989.780308,,,
R6,10000,arac-lite-v0.6-no-delta-hard-block,3,26867943989.780308,,,
R6,10000,arac-lite-v0.6-targeted-probe,4,26867943989.780308,,,
R6,10000,validated-selective-conflict,5,26997903145.91877,,,
R6,20000,validated-selective-conflict,1,962217101.6513939,,,
R6,20000,arac-lite-v0.1-disable-fast,2,964973252.5813822,,,
R6,20000,arac-lite-v0.6-no-delta-hard-block,3,964973252.5813822,,,
R6,20000,arac-lite-v0.6-targeted-probe,4,964973252.5813822,,,
R6,20000,no-coordination,5,966230938.2312876,,,
S4,5000,arac-lite-v0.6-no-delta-hard-block,1,37505423216016.17,,,
S4,5000,arac-lite-v0.6-targeted-probe,2,37505423216016.17,,,
S4,5000,no-coordination,3,37509068260746.625,,,
S4,5000,arac-lite-v0.1-disable-fast,4,37512035150959.57,,,
S4,5000,validated-selective-conflict,5,37590219210781.49,,,
S4,10000,arac-lite-v0.1-disable-fast,1,873207760313.1111,,,
S4,10000,arac-lite-v0.6-no-delta-hard-block,2,873207760313.1111,,,
S4,10000,arac-lite-v0.6-targeted-probe,3,873207760313.1111,,,
S4,10000,no-coordination,4,876824827494.4033,,,
S4,10000,validated-selective-conflict,5,880431519430.0896,,,
S4,20000,arac-lite-v0.1-disable-fast,1,5491893009.5273,,,
S4,20000,arac-lite-v0.6-no-delta-hard-block,2,5491893009.5273,,,
S4,20000,arac-lite-v0.6-targeted-probe,3,5491893009.5273,,,
S4,20000,no-coordination,4,5500592678.971019,,,
S4,20000,validated-selective-conflict,5,5507350326.218303,,,
S6,5000,no-coordination,1,23036110501091.723,,,
S6,5000,validated-selective-conflict,2,23134438437447.81,,,
S6,5000,arac-lite-v0.1-disable-fast,3,23230229241515.836,,,
S6,5000,arac-lite-v0.6-no-delta-hard-block,4,23230229241515.836,,,
S6,5000,arac-lite-v0.6-targeted-probe,5,23230229241515.836,,,
S6,10000,no-coordination,1,279383636307.9042,,,
S6,10000,arac-lite-v0.6-no-delta-hard-block,2,280108993760.17474,,,
S6,10000,arac-lite-v0.6-targeted-probe,3,280108993760.17474,,,
S6,10000,validated-selective-conflict,4,280145990878.71155,,,
S6,10000,arac-lite-v0.1-disable-fast,5,280351843140.9205,,,
S6,20000,no-coordination,1,2584062109.1164618,,,
S6,20000,arac-lite-v0.1-disable-fast,2,2586961905.996892,,,
S6,20000,arac-lite-v0.6-no-delta-hard-block,3,2586961905.996892,,,
S6,20000,arac-lite-v0.6-targeted-probe,4,2586961905.996892,,,
S6,20000,validated-selective-conflict,5,2592962922.6789684,,,
A6,all,arac-lite-v0.1-disable-fast,,,2.3333333333333335,2,3
A6,all,arac-lite-v0.6-no-delta-hard-block,,,3.3333333333333335,3,4
A6,all,arac-lite-v0.6-targeted-probe,,,4.333333333333333,4,5
A6,all,no-coordination,,,1.0,1,1
A6,all,validated-selective-conflict,,,4.0,2,5
E4,all,arac-lite-v0.1-disable-fast,,,2.0,1,3
E4,all,arac-lite-v0.6-no-delta-hard-block,,,3.0,2,4
E4,all,arac-lite-v0.6-targeted-probe,,,4.0,3,5
E4,all,no-coordination,,,2.0,1,4
E4,all,validated-selective-conflict,,,4.0,2,5
E6,all,arac-lite-v0.1-disable-fast,,,4.666666666666667,4,5
E6,all,arac-lite-v0.6-no-delta-hard-block,,,2.6666666666666665,2,3
E6,all,arac-lite-v0.6-targeted-probe,,,3.6666666666666665,3,4
E6,all,no-coordination,,,1.3333333333333333,1,2
E6,all,validated-selective-conflict,,,2.6666666666666665,1,5
R6,all,arac-lite-v0.1-disable-fast,,,2.0,2,2
R6,all,arac-lite-v0.6-no-delta-hard-block,,,3.0,3,3
R6,all,arac-lite-v0.6-targeted-probe,,,4.0,4,4
R6,all,no-coordination,,,2.3333333333333335,1,5
R6,all,validated-selective-conflict,,,3.6666666666666665,1,5
S4,all,arac-lite-v0.1-disable-fast,,,2.0,1,4
S4,all,arac-lite-v0.6-no-delta-hard-block,,,1.6666666666666667,1,2
S4,all,arac-lite-v0.6-targeted-probe,,,2.6666666666666665,2,3
S4,all,no-coordination,,,3.6666666666666665,3,4
S4,all,validated-selective-conflict,,,5.0,5,5
S6,all,arac-lite-v0.1-disable-fast,,,3.3333333333333335,2,5
S6,all,arac-lite-v0.6-no-delta-hard-block,,,3.0,2,4
S6,all,arac-lite-v0.6-targeted-probe,,,4.0,3,5
S6,all,no-coordination,,,1.0,1,1
S6,all,validated-selective-conflict,,,3.6666666666666665,2,5
